guid,_id,pubDate,description,link,title
https://www.votpusk.ru/news.asp?msg=544347,544347,Mon\, 17 Oct 2016 00:28 +0300,Израильский турист погиб а еще трое получили ранения в результате автомобильной аварии в Йоханнесбурге Южная Африка Об этом сообщил 2 канал в воскресенье 16 октября Трагедия произошла когда автомобиль туристов стал участником ДТП а именно когда произошло лобовое столкновение Авария произошла всего через несколько дней после того как семья туристов в Грузии потеряла двух детей в автомобильной аварии. MIGnews com,https://www.votpusk.ru/news.asp?msg=544347 ,Израильский турист погиб в ДТП в Африке
https://www.votpusk.ru/news.asp?msg=537417,537417,Thu\, 17 Dec 2015 19:13 +0300,Ростуризм присоединяется к Роспотребнадзору и обращается с настоятельной просьбой к туроператорам и турагентам реализующим туры в страны Африканского континента информировать туристов о существующем риске заражения и о соблюдении мер по профилактике инфекционных и паразитарных заболеваний сообщает портал ведомства Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека информирует об ухудшении эпидемиологической ситуации по холере в Танзании где за 4 месяца зарегистрировано более 5 тысяч заболевших говорится в сообщении Вспышка холеры в Танзании возникла из за недостаточных мер по обеззараживанию питьевой воды и несоблюдения жителями элементарных правил гигиены С наступлением сезона дождей имеется большая вероятность распространения холеры за пределы Танзании Роспотребнадзор и Ростуризм убедительно просят туроператоров и турагентов реализующих туры в страны Африканского континента информировать туристов о существующем риске заражения и о соблюдении мер по профилактике инфекционных и паразитарных заболеваний говорится в обращении ведомств Холера острая кишечная инфекция вызываемая бактериями вида Vibrio cholerae Холерный вибрион обитает в грязной воде и грязной пище Распространяется как правило в форме эпидемий провоцируя быструю потерю организмом жидкости и обезвоживание различной степени вплоть до смерти Ростуризм приводит данные ProMED согласно которым по состоянию на 13 ноября 2015 года в 31 стране мира зарегистрировано более 100 тысяч заболевших холерой Наибольшее распространение холера имеет на Гаити в странах Африканского континента Мозамбик Танзания Демократическая республика Конго Кения РИА Новости,https://www.votpusk.ru/news.asp?msg=537417 ,Ростуризм просит турбизнес сообщать людям о риске заражения в Африке
